nose x,nose y,L eye x,L eyey,R eye x,R eye y,L ear x,L ear y,R ear x,R ear y,L shoulder x,L shoulder y,R shoulder x,R shoulder y,L elbow x,L elbow y,R elbow x,R elbow y,L wrist x,L wrist y,R wrist x,R wrist y,L pelvis x,L pelvis y,R pelvis x,R pelvis y,L knee x,L knee y,R knee x,R knee y,L ankle x,L ankle y,R ankle x,R ankle y
258.17241200229574,806.7949682363153,234.70628169544955,849.1554138250444,240.0335813823499,820.530123423381,254.45780971594021,862.7590270528135,253.51220448811847,811.8603649327423,341.1986019736842,869.4710421274943,325.5906677246094,803.563896922919,445.8627152024654,972.7995789978094,418.9566695899294,781.4576271617008,435.1219766181812,857.4943457245174,485.51016556589224,709.9077105652724,496.8876340096457,890.5514275675143,482.60879650450585,826.6908927658432,540.3416397697047,854.5003968287924,458.5513171815035,741.2474088470359,564.6566424453467,736.7776084807982,570.2138746830454,698.5610196467688
264.1744827805904,740.8037809056494,250.7003757409882,749.8674186714899,251.23047544245134,744.0182170888811,261.429219162255,775.819057702757,253.51220448811847,811.8603649327423,341.1986019736842,869.4710421274943,323.61031114009387,785.5434334996235,445.8627152024654,972.7995789978094,414.834004452354,772.6522536345667,440.79083559805883,851.0742829271632,537.197345934416,693.7398927653084,476.3431472109075,896.2216377049391,482.26089343690035,828.4561061963585,550.556406389203,892.2041553108742,433.9145432857045,749.0690835073248,562.1561886971457,740.1484925853983,569.0151883844743,700.7822915418777
264.1744827805904,740.8037809056494,250.7003757409882,749.8674186714899,247.18671296772203,740.2990789507462,263.0714925130208,772.7660491040867,262.52235211824114,751.131563050854,356.3847832930715,860.5268330067429,323.20977595814486,763.9428291446146,441.1146605642218,964.0556152026206,426.7819152066582,767.0428366520057,440.79083559805883,851.0742829271632,551.1369243421052,686.9882038362969,476.3431472109075,896.2216377049391,482.26089343690035,828.4561061963585,534.7790925544605,835.7184285793743,452.80838146544335,711.8813067433084,554.0560806006715,764.0485200746166,575.3043713485985,683.8103452517456
264.1744827805904,740.8037809056494,252.50159681889048,733.916863966876,252.01045387669612,736.2625676935369,261.099798637524,762.796436259676,259.42980046857866,744.6534192522932,358.4154336494312,837.6689069399044,335.33539086057425,777.2258685844229,440.25075879013326,962.4529561338393,414.4044809174119,780.1911841034237,440.79083559805883,851.0742829271632,536.7535989326343,694.1060149578249,493.8811613384046,891.0213768782517,470.01098749930395,826.4387530591114,551.0156745241399,871.7613208515882,424.5441985548588,750.6521736805175,560.6197603961878,739.7432565845769,575.3043713485985,683.8103452517456
264.1744827805904,740.8037809056494,242.6795758699116,824.1921766433632,254.63176794219433,795.326403715002,261.099798637524,762.796436259676,260.72285434655976,787.8371373455469,358.3256611071135,839.1316054345222,326.92190270674854,771.2234734392114,438.2084782918294,961.5790216084508,414.66063850804375,768.7096198626181,440.79083559805883,851.0742829271632,534.4048322711075,695.7968641032525,493.166613662452,891.1209156583722,471.4506075465888,835.5929916398549,553.544253968356,871.854288157602,430.49842165227517,765.5879884951738,563.6035437332956,739.4363025610967,575.9580003169544,705.4614164220803
264.1744827805904,740.8037809056494,262.41429044489274,725.1195339775294,268.8591244346217,731.8908932070611,269.1818622957196,755.1039342472874,260.72285434655976,787.8371373455469,357.5832112630208,841.259857879672,329.46095449882637,756.2141837948384,438.54204746714805,962.5615245071193,417.4115191007915,750.335991515779,393.4063667163514,854.7207761933744,535.4767488178454,695.9942926112298,497.7542890582168,871.7718940392251,474.9134261148017,824.1869408564656,529.9228400514836,861.036623634096,434.31488840203536,743.9530351519716,555.0492142794425,765.7997183157345,569.997812906901,700.141739275996
287.4464376349198,739.4894546224672,264.5193739104689,722.0107480704066,275.4045479757744,736.9268614987293,271.9736765142073,748.6986636175383,272.42043478447096,741.4151465592483,360.640331067537,835.212328138905,344.1118688750685,764.5939203368873,436.93045499032,962.7915795818216,426.9791131270559,759.2936962248854,442.133594981411,833.5295220298809,522.0093389143024,685.753712648891,493.39754071152,897.0640886730849,484.205297503555,836.8962159005339,549.9995710138688,877.0575118299904,431.5428911175644,766.1287613165731,564.6374886496025,737.6144011414978,577.648716976768,705.673953805278
290.42867693984715,740.1818727324069,273.76933482655306,722.4825411375616,284.17423047517474,734.9564357394065,275.0159655119243,744.5559127490073,278.9692246286493,740.3667564433872,345.4104748106839,839.3153874375342,346.94046689752946,762.9283999456633,436.7202638324938,961.133328591354,429.9652410808362,760.9272227961027,441.47617540861427,837.0541686008951,548.3140671044065,686.7234536512527,476.5621734083744,902.4613877429106,483.8124887566817,836.4118467834405,555.5496376439145,892.675139478368,434.87049571254795,763.556928352615,564.7763302451685,738.4913446399233,578.2894040827165,706.2990982038951
287.7216807582922,748.1464779572837,273.76933482655306,722.4825411375616,282.8609011466043,735.45986714525,266.25938883998936,774.365990462204,276.5025329589844,742.1589010516498,359.1067638731839,833.616095017499,345.6079222026624,764.9936638421584,436.7490888896741,958.7352552967552,429.969637017501,759.5286230816376,442.52042937697024,836.8874276402485,548.1333414713541,686.6473381986754,496.0672278153269,892.1960368997296,471.8174244437301,842.5111253786453,550.6568814997087,871.51895579477,453.26599656489856,756.2879835214437,566.0153599789268,739.0591306989321,573.6739764297217,689.0473274490006
290.863702924628,745.0354592196912,273.10767792818837,759.3924805890822,287.97413140012503,731.7894966317685,269.5696286255853,780.9663536514666,282.02044035259047,740.6024898600082,359.7251088995682,836.8896704983998,345.84044071665977,761.559181505853,434.05056936699043,957.551590417066,428.81463402195976,759.6388654092577,423.3968139113041,828.0022030148292,547.5124238666735,687.417984259481,494.98190762703877,894.059898150842,473.511433685035,840.557099224312,551.2674672980057,870.9418600360248,434.0074934039199,767.5149613011706,566.3967092413651,739.0889677317223,573.6739764297217,689.0473274490006
290.59150587048447,755.678544477983,269.0704820448892,771.5196289864714,289.63484797561375,738.0611604354207,269.5661808105937,782.8813174729279,284.21385112561677,738.8549470431442,360.58229145250823,825.5075892169531,344.5549774169922,760.9203667029624,435.2593759904828,957.5243886590396,421.9311021503649,777.2505580739149,424.088493481017,828.8998923662066,485.81738388329217,671.9629563898794,495.4359168337102,893.9309074009104,472.6932628531205,842.0035836260524,551.6138819644325,870.556658006315,433.7704092996162,766.2299259181613,566.0615526165878,738.1184191667237,573.6739764297217,689.0473274490006
293.83875913787307,752.1386010127156,273.57698072466934,769.7081978036435,291.2757483281587,735.4532502123194,271.34370820564135,784.0013486897698,287.11710611979163,737.7771464052231,358.746766207511,837.4029360517353,346.0563659667969,746.726258059582,435.24710605019015,957.0578407379518,430.65270273309005,758.8570424943738,424.92348118832234,831.1333334380669,520.6087346662555,683.0578700187825,494.50103224369514,894.5020600869386,497.7031426680715,831.1139198461995,552.553421823602,870.6566059158508,453.45714636016305,757.645223561148,566.4806593510142,736.3676233699,573.812056424325,687.6607611197632
223.44284860711346,541.8777195072905,234.94414613957989,558.8594584971634,228.1781942802563,541.8652360462803,271.1376702158075,571.6741141144835,244.33533551400166,527.8845622636142,315.0481168847335,550.1141725103539,293.826256467585,489.87051588812636,405.592962315208,572.4292366554286,367.90879634388705,466.13797241077236,480.0937759667112,586.7611667595453,414.2447742662932,456.27399490540284,463.1774822034334,477.324276242042,467.95752843221027,445.502545961545,547.9859335380688,271.89432802231653,534.2539984719795,249.11829803232817,601.9620152523643,117.90698482851862,573.812056424325,687.6607611197632
224.77427700109646,525.8141989566932,228.98833893893055,543.3091974832926,228.08195147597996,535.7577309080962,260.73898716976765,562.0189299066383,244.5903165716874,520.2716224896033,311.91218392890795,553.6657754954476,293.5706521753679,495.62102368993015,424.1796095329418,574.7856623136723,376.404994496128,462.92378988610693,512.8306733516224,574.5563660002225,434.8357866521467,430.63893948040027,482.93302971020074,480.17386395724947,457.1677773458916,444.4730877745713,533.7025307772452,490.383558826927,511.86311219867906,427.41659199943416,626.4676487236692,471.75619908778845,573.812056424325,687.6607611197632
221.3577672054893,530.158932070612,227.7376874287923,543.305406351079,227.02835083007812,535.337774103338,259.8371726588199,560.4439229432489,243.78067050063817,520.701004479566,312.627220990365,553.9316755213325,293.6958152369449,486.82422249366783,424.1257910142865,575.2470399620499,375.717793514854,464.0581239196844,512.2787291543525,593.3973825878799,434.50505172997185,431.92870826345154,485.8968192652652,480.61842184077216,459.33195147597996,445.0098642305372,534.002705624229,490.23882194259994,513.298477373625,427.632271640272,626.1519400278727,471.9908555731716,570.8103929486191,401.0677801426765
224.10771152429413,524.02961522047,227.05745747214868,542.9316993872151,225.77852483381304,534.1155334004698,257.5597890218099,558.3047117669898,236.0598179331997,521.8638686047457,313.47760811186674,554.3384023041741,288.82425944010413,494.79657309992814,423.6670306690952,575.3068116303995,375.65040588378906,462.59423681052334,512.6462662010862,593.1693678121577,435.62907570286796,429.77614637794784,489.7871265076754,489.2577018612447,461.432926111054,442.4597147913386,555.7258933887147,522.6815317912274,492.24115806713434,434.75024053065954,643.72130143015,514.710991014395,556.8548590676826,425.3314539897873
223.66543953878838,519.6662887790509,227.4396688896313,540.104424600925,226.08291090580454,523.1928192172097,259.4547070954975,557.6525812055038,236.20883071631715,518.8302635702612,314.0226025330393,555.0643081915731,292.9095613747312,488.3049393953655,423.21304488600344,575.254112820244,374.1002333791632,457.8915896629843,513.7560591781348,574.7572391840088,435.81416280646073,429.4961260391352,490.02867046155427,490.3759635265137,460.5528634054619,443.83014892043315,554.3484463608055,523.5704964745345,514.2170864239073,429.2383828638417,644.5047258075914,514.8969994970115,577.8146937855503,424.5529276752785
223.0499214038514,522.7771129796173,227.18907774540415,540.7752450899122,224.63126734683388,528.4257636012801,254.01195124575966,559.1106382204956,234.89961724532276,515.9463449898059,313.70194690269335,554.7462528558838,293.42931914747805,483.6114689136518,422.7843987314324,574.9938476829905,372.96831231368213,457.6099388231192,513.9072098648338,575.3817805846967,435.4524679351271,429.24283682581887,490.5595103481359,492.8570541599102,462.668746145148,437.7573918721762,554.3217381259851,522.8775716324103,506.7092514038086,410.5076039242196,643.341283965529,514.8256176116041,571.7785617761444,382.9816761831595
222.89628681383633,524.5587793289636,227.7935486509089,542.0968577791278,222.47473331919886,526.3152374234153,255.22111056143777,557.2249460377019,232.59384958367596,512.2050785261073,313.1861153820105,554.2978750941265,291.4852276183011,481.2296692095085,422.30861898054155,574.7171424957643,378.64721867076133,465.2075449347104,496.9124024374443,576.5333194461083,435.77401947556876,429.6548548820638,490.0256628739206,494.0423355436795,459.7814887866639,444.28884182415027,554.1930121706242,522.6282908177454,506.2044920001113,410.938078931493,642.3644745140745,514.689420133927,550.7503583138449,386.0269485924878
226.0332475628769,520.6804156433974,229.53998197589004,540.2520384271461,224.9131078887404,519.6322277524515,256.36758703934515,556.5520284262049,236.0865997849849,508.17389965579645,312.7318904274388,555.3486384280018,295.39593679863106,480.19639548962897,411.40936600534536,572.3320149383044,378.2585920367324,463.682081842997,512.636748866031,575.2314335466867,437.5458131756699,428.89607056599976,491.28241288034536,493.8964461026813,459.1002213327508,444.74297246692737,553.8207418876782,521.4031337307682,524.3737659119723,403.9959952447396,645.1423618249726,514.8442326657482,573.815733926338,383.69826083898806
228.16640351947984,517.0924179394692,227.9777503431889,535.3683441596642,220.46349843343097,515.6153708768178,256.0631039268092,555.4668153259344,236.99896829170092,505.1771570479361,314.6483210513466,554.5576883171892,295.9047739129317,481.84152024468614,416.03179931640625,577.972497678926,378.3399026435718,463.9219881122501,493.89134130979835,592.5010495640231,438.58743767989307,427.6007676725189,490.778614512661,494.552970543618,456.58044313129625,444.51285154378166,558.8256297195167,493.7179825313773,504.95306851571064,409.21184527260317,677.0262731585586,472.0115692539779,525.946259080318,382.1175165583766
231.86941849557977,518.9023953591354,229.24880011039866,537.9609368899827,222.602382124516,514.6733369858607,256.0539064909282,556.1997626514581,236.94285610265896,503.4020227304816,314.9191766036184,555.215445410905,296.72617862099094,480.28934808837624,415.2569238763106,577.6201597048706,375.82635310658236,462.99916529577115,511.51080181724143,593.5966640443164,436.1503540842156,430.7022846802694,493.02212765342307,492.1007716668788,458.3071839182,437.6260178765488,553.6493388393469,521.3310370387801,503.32954942134387,377.36650247563404,645.694946489836,515.2619537988602,532.5192407976117,281.9821852217107
232.43390535053453,518.8225964047953,229.45271742971318,537.7199395671731,223.3285205406055,514.0137079746543,255.39063637716728,556.2429378379998,238.3485077975089,501.08373435146837,313.98828606856495,554.6350258099158,295.3995580840529,479.1789287387476,415.94538103070175,578.5268051966389,372.8482925682737,455.64006090947595,493.51501937498125,592.5850487799921,438.12507361696476,427.02343216861584,491.3236249957168,495.3141127854814,466.8006304690712,436.5741093814177,555.7638529727333,521.6603995884104,492.87453643062656,433.55577851177435,647.0272880688048,514.8230641460106,556.741991210402,425.5422938118106
235.88700010065446,527.3207050503149,231.7946564523797,542.7908408759326,225.23825837854753,518.1654852609122,259.0297110038891,556.4207884672568,239.2200142040587,500.804666642422,309.5440335859332,556.1633942552882,296.40928067659075,475.607669491888,412.32380649499726,572.0834300447528,373.02262423331274,454.3335809947888,511.64032283582185,574.9007045582899,436.33516813579354,426.994955725111,486.73824778774326,508.1420677828501,474.8279708728455,440.8773325724774,577.1535793103669,514.6920719543657,504.0264491031044,375.37890999366783,692.3228628593579,514.8088347820436,535.1408185456928,278.1329940678909
236.53137474729303,527.5318058009738,232.6756353545607,542.608092392653,225.87293131309642,517.445578099864,258.8839855528714,557.2434718454784,242.65100412201463,502.1021149584132,308.9647209435178,556.2640507876677,296.48271995678283,475.13363824616647,413.7911666067023,572.2268232197255,375.32373528731495,453.4757696446296,511.19032541910804,574.666868379056,437.2940766183953,425.5435414643303,488.08848197000066,506.95937558829064,474.93011943080967,440.7522098336528,553.2081657543516,522.5287941538883,505.781952707391,376.4825720228214,645.814874548661,514.8185583743443,560.6320691526981,277.8099756982475
238.04779855828534,530.2311895397642,234.0660710920367,545.6476625607544,225.50228085434227,519.1301480781078,254.77003666392542,556.7595863969016,239.4552585534882,499.6348814112986,309.35603626987387,556.693997670369,295.58516318337956,474.534167386877,413.45239739668995,572.822248243685,376.2518123158237,453.10903024830145,510.7983692905359,593.7478300096693,441.8339940121299,412.44858941269337,489.5484977856017,506.64664294607405,474.9005106875771,439.85210105336114,552.9708199752005,521.543920042742,504.6173965721799,376.2296247534527,645.6444746987861,515.548411282626,533.6226694207442,282.22161417331256
238.31929859362148,531.4936125004278,233.68009399949457,546.6226854773497,225.47198596753572,520.6621786328553,259.7355263693291,558.2787497646838,240.56197317023026,500.53389516874313,309.5997693245871,557.5501598011364,296.07865651448566,474.5615389469811,413.1256317674068,573.3424442621338,373.95581161766717,453.77336048740415,511.39185252942536,593.6116908596745,442.3098219486705,413.96502558529573,492.93816014340047,504.5765564031695,479.0459214595326,441.8329499193507,553.1272105166786,522.2805354942498,506.44037414015384,409.0002351157114,646.7737646270216,515.3325532326171,571.7236488743832,382.60785958330837
240.437380472819,533.1961855099731,234.6048120866742,549.323959768406,227.25304168567322,523.2803755861514,260.0124399285567,559.3068667492234,242.38617043746143,499.9388177710843,309.69270003469364,557.2966626805518,300.3472592537863,476.8965227475955,413.41389706260276,573.0625048132872,393.0426440322608,450.6448484589993,511.96134132251404,593.9698328559265,443.23928163762673,414.3576046462127,493.1628658896998,505.02526507842447,480.1906719542386,441.3012220668897,552.8373437178763,522.0344949578142,505.9642684668825,410.3496271574223,645.0950856794391,515.6366822910204,572.0293881600363,382.2239209579351
240.17501094885037,534.7473050939553,234.88954109058045,551.7878480808889,226.343063722577,525.1129370999623,254.97133087693598,559.083120423366,241.33984348230194,499.78215463059627,308.923785895632,558.2206388475599,300.50379702919406,475.9215843977829,412.9701179370545,572.8680640530873,391.82910450717856,449.5683435646884,512.5828391627261,594.021730120054,443.0931800708436,413.5802393701225,494.34942948190786,503.9905948367333,481.0176996599164,441.46977736942085,551.6131745723255,522.8575383298107,505.23679632889593,411.0132684947888,644.7670612000583,515.6992521421802,552.9979337725723,382.1495468122936
242.0965807061446,537.1243800051502,236.8497052109032,553.7793416653118,228.80978099086826,525.9669038369386,260.5382698460629,560.1866732761346,242.66646234612713,499.7439972960022,309.53382558989944,558.4694354923244,301.6332927503084,475.0193794977495,414.5215994851631,573.0414613888794,393.0061862343236,448.31211817094817,512.5701994644968,594.1907440218972,459.702068797329,411.43828376360557,494.0585380688048,503.7231097686199,479.7257225973564,439.9575541601776,550.4910137778834,523.4035195291108,506.0072286505448,411.68319518307607,643.9555144728275,515.5979137692237,572.358737075538,382.5650027756623
244.28792384632845,541.5316682211802,239.05772761294716,555.0719385888725,230.46498616536456,528.9662509680055,258.64737795110335,559.6494785404936,241.27543332283955,500.657718320013,310.3346925032766,558.7007602386642,301.6228799652635,474.670559234452,418.5538335432086,580.0962978333789,393.85251630816543,450.0378767266331,494.8909412350571,593.1300512775534,443.01657158031793,413.8073088697118,492.2943797864412,504.3426092509241,479.1351579364977,439.487511257744,530.203130621659,511.7040871894895,482.2232698139391,410.63421343399165,623.2558143348024,488.3191509601973,530.8567368356805,380.6358652020859
245.3717721972549,542.1023887141249,238.1787129452354,555.5101446045189,231.13955246774773,529.4738154500103,256.6393514265094,559.951744539192,240.32601875171326,500.47079965814964,309.6769095303719,558.7939531675173,301.3011624520285,473.3339855783218,414.00296395285085,573.822961412411,393.37699622438663,448.20172354791146,512.4722889013458,594.0009226804234,442.2907109846148,412.7896208413198,490.18069886324696,505.52445109807127,477.3564027485094,439.45702576820065,551.9608099418774,522.8110152345889,483.24759566993043,407.41249042690646,644.3259871633429,515.0262777907172,531.7960538362202,381.0371082009256
247.15958028508905,543.3997661678318,238.8756701820775,556.3187564711973,231.7953932912726,530.8845164036829,256.3749668054413,559.7722353313734,240.6524912516276,501.42461937594123,310.0826631512558,558.8121993701011,300.9980178297612,473.4241090337914,416.7784185576857,579.6058532781694,392.4340338456003,448.7875306880487,494.722658207542,593.2247687482886,441.0498742889939,414.74776703582796,487.03401665938526,506.70524739226795,477.7441995185718,441.0895383736651,552.4043186923914,521.9974473533338,485.2884379604406,406.38764112959296,644.092085988898,514.1934224156926,532.546461674205,380.3682574202171
248.14514670455662,545.3881274387322,238.8621507611191,558.236577179189,232.06362540261787,532.6017990195869,255.65250463653027,560.8603316773982,239.84793412057977,502.65001679302435,310.72906360291597,558.5878084314353,297.48268395139456,471.21893768895495,417.5196878533614,580.0912064450986,389.7723729986893,447.35295374056597,495.6131623920641,593.3291488931578,440.1852042214912,413.530233326773,488.00380639862595,506.93683670227784,477.71575793885347,441.803666414593,553.1397956714295,521.6926927347173,486.0094947145696,405.032076464817,639.6196505897923,515.5561553269853,532.9814629805716,378.06862169915456
249.41765032316508,546.7233794464078,238.93636402330898,559.4751223076343,233.2316964132744,532.9453888440837,255.07395292583263,561.7196421294196,239.4245127627724,503.7131422529607,310.2745056152344,558.5598500848208,297.2611597964638,470.7052205347936,420.58815403988484,580.0106908457694,388.32234901294373,445.73766501553087,496.8514663294742,593.4300253660238,440.6621377509937,411.72326111976315,488.22777865225805,507.64861559162784,476.6186162045127,440.88394148326256,551.954928615637,522.2982684466559,487.60936670136033,406.3467054586421,635.162269190738,552.2707564990073,532.4034988671018,378.45544119393054
251.7214939050507,548.2978511613927,240.46843880101252,560.0893774377295,232.99453936125101,534.5746180522873,256.30417807060377,560.9962596245689,239.28390436005174,503.7518878782174,310.95934583429704,557.9820924990801,297.4359626100774,470.1900561563548,420.96649571468953,579.5236543653307,385.39846855297424,445.75097843433394,512.8909067522015,594.9682710779197,423.16049140796326,422.4801759416929,502.5266546952097,503.7105430778512,478.2770739103618,440.6836071202423,550.6024865936814,522.1779462933409,508.9650625931589,404.18668765750147,634.6192222729063,552.0604198576979,572.4888972232216,357.1979038869434
